,Argument ID,Conclusion,Stance,Premise,text,category,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
3413,A27083,We should prohibit school prayer,against,prayer in schools should be allowed as prayer has always been a part of our developing country. this has only come  as an issue as non christian religions have become more prevalent in society.,prayer in schools should be allowed as prayer has always been a part of our developing country. this has only come  as an issue as non christian religions have become more prevalent in society. against We should prohibit school prayer,"['Tradition', 'Universalism: tolerance']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
763,A18110,We should subsidize Wikipedia,in favor of,wikipedia would be more accurate if it was subsidized.,wikipedia would be more accurate if it was subsidized. in favor of We should subsidize Wikipedia,"['Achievement', 'Benevolence: caring']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1566,A20353,We should stop the development of autonomous cars,against,autonomous cars are the future and some cities already have them.,autonomous cars are the future and some cities already have them. against We should stop the development of autonomous cars,"['Self-direction: thought', 'Self-direction: action']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3717,A28060,We should abolish safe spaces,in favor of,"safe spaces are an enormous waste of time and money, especially when things like churches, medical offices, etc., exist.","safe spaces are an enormous waste of time and money, especially when things like churches, medical offices, etc., exist. in favor of We should abolish safe spaces","['Security: personal', 'Humility', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
5998,A22209,Payday loans should be banned,in favor of,they should not be used as sometimes the money is never repaid,they should not be used as sometimes the money is never repaid in favor of Payday loans should be banned,"['Power: resources', 'Security: personal', 'Conformity: rules', 'Benevolence: caring', 'Benevolence: dependability']",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0
6836,A30393,Intelligence tests bring more harm than good,against,"without intelligence tests to use as a benchmark, it would be impossible to assess someones capability and provide them with appropriate level tasks.","without intelligence tests to use as a benchmark, it would be impossible to assess someones capability and provide them with appropriate level tasks. against Intelligence tests bring more harm than good","['Achievement', 'Universalism: objectivity']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
468,A12252,We should legalize organ trade,in favor of,we should legalize organ trade because many people who are in need of organs have trouble getting good organs.,we should legalize organ trade because many people who are in need of organs have trouble getting good organs. in favor of We should legalize organ trade,['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,A09024,We should ban whaling,against,"if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.","if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned. against We should ban whaling","['Achievement', 'Security: personal']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,A07060,We should legalize organ trade,in favor of,Organ sales increase the likelihood that people with rare blood types or conditions can find an organ.,Organ sales increase the likelihood that people with rare blood types or conditions can find an organ. in favor of We should legalize organ trade,"['Self-direction: action', 'Security: personal', 'Benevolence: caring']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
828,A18223,We should subsidize space exploration,in favor of,space exploration needs our support to help us understand the universe and our place in it.,space exploration needs our support to help us understand the universe and our place in it. in favor of We should subsidize space exploration,"['Self-direction: thought', 'Achievement', 'Universalism: nature']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1480,A20227,We should abolish capital punishment,against,"serious crimes deserve serious punishment. at it's simplest level, 'an eye for an eye' is still a compelling argument for criminal justice.","serious crimes deserve serious punishment. at it's simplest level, 'an eye for an eye' is still a compelling argument for criminal justice. against We should abolish capital punishment","['Security: societal', 'Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
764,A18114,We should ban missionary work,against,missionary work can sometimes provide communities in need around the world with access to education and resources.,missionary work can sometimes provide communities in need around the world with access to education and resources. against We should ban missionary work,"['Achievement', 'Security: personal', 'Tradition', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
185,A07072,We should legalize sex selection,in favor of,sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look.,sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look. in favor of We should legalize sex selection,"['Self-direction: action', 'Humility', 'Benevolence: caring', 'Benevolence: dependability', 'Universalism: tolerance', 'Universalism: objectivity']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
5547,A18115,Homeschooling should be banned,in favor of,homeschooling can put children at a disadvantage if their parents are not intelligent enough to provide a good education.,homeschooling can put children at a disadvantage if their parents are not intelligent enough to provide a good education. in favor of Homeschooling should be banned,"['Achievement', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6891,D03047,Cattle slaughter should be banned,in favor of,It is our responsibility to stop cruelty against animals. Article 48 of the Indian constitution mentions that the state should take steps in prohibiting the slaughter of cattle. Many slaughterhouses are still not following the rules to not harass the animals while killing. Animals are subjected to intense suffering at most slaughterhouses.,It is our responsibility to stop cruelty against animals. Article 48 of the Indian constitution mentions that the state should take steps in prohibiting the slaughter of cattle. Many slaughterhouses are still not following the rules to not harass the animals while killing. Animals are subjected to intense suffering at most slaughterhouses. in favor of Cattle slaughter should be banned,"['Face', 'Conformity: rules', 'Benevolence: dependability', 'Universalism: nature', 'Universalism: tolerance']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
2333,A23018,We should fight for the abolition of nuclear weapons,in favor of,nuclear weapons should be abolished because it brings us one step closer to a nuclear war,nuclear weapons should be abolished because it brings us one step closer to a nuclear war in favor of We should fight for the abolition of nuclear weapons,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5335,A05046,Homeschooling should be banned,against,"homeschooling is a good option for children who are bullied, giving them a safe place to learn","homeschooling is a good option for children who are bullied, giving them a safe place to learn against Homeschooling should be banned","['Self-direction: thought', 'Self-direction: action', 'Achievement', 'Security: personal']",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5634,A19001,Foster care brings more harm than good,in favor of,The foster care system strips children of autonomy by forcing them to pass every decision about after school activities or hanging out with friends through a social worker that is difficult to access.,The foster care system strips children of autonomy by forcing them to pass every decision about after school activities or hanging out with friends through a social worker that is difficult to access. in favor of Foster care brings more harm than good,"['Self-direction: action', 'Stimulation', 'Face', 'Security: personal', 'Universalism: concern']",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2509,A23291,We should ban the Church of Scientology,in favor of,scientology is a cult that brainwashes people,scientology is a cult that brainwashes people in favor of We should ban the Church of Scientology,"['Self-direction: thought', 'Power: dominance']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4304,A30002,We should abolish capital punishment,in favor of,"As long as death penalty is kept, this confirms that our society is founded on violence, and that violence and brute force solve. This mindset perpetuates the circle of violence and doesn't allow to escape it.","As long as death penalty is kept, this confirms that our society is founded on violence, and that violence and brute force solve. This mindset perpetuates the circle of violence and doesn't allow to escape it. in favor of We should abolish capital punishment","['Face', 'Security: societal', 'Universalism: objectivity']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
230,A09012,We should fight for the abolition of nuclear weapons,against,we need to keep our country safe and protected,we need to keep our country safe and protected against We should fight for the abolition of nuclear weapons,"['Security: societal', 'Benevolence: caring', 'Universalism: concern', 'Universalism: nature']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
2997,A25032,We should cancel pride parades,in favor of,pride parades can be a dangerous place,pride parades can be a dangerous place in favor of We should cancel pride parades,"['Security: societal', 'Benevolence: dependability']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5837,A20460,The vow of celibacy should be abandoned,against,the vow of celibacy should not be abandoned because it is a centuries old practice that is considered sacred and holy.,the vow of celibacy should not be abandoned because it is a centuries old practice that is considered sacred and holy. against The vow of celibacy should be abandoned,['Tradition'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
736,A18072,We should ban cosmetic surgery,against,cosmetic surgery teaches our daughters that they need to look perfect and never age.,cosmetic surgery teaches our daughters that they need to look perfect and never age. against We should ban cosmetic surgery,"['Self-direction: action', 'Hedonism', 'Universalism: nature']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4504,A30303,We should ban human cloning,in favor of,human cloning lets people play god.,human cloning lets people play god. in favor of We should ban human cloning,"['Tradition', 'Conformity: rules', 'Humility']",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2431,A23170,We should subsidize Wikipedia,in favor of,wikipedia is a valuable common resource that need  more money to work better,wikipedia is a valuable common resource that need  more money to work better in favor of We should subsidize Wikipedia,"['Self-direction: thought', 'Achievement']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3684,A28012,We should legalize sex selection,in favor of,"sex selection is a safe tool to help parents attain the family they dream of, thus should be legalized","sex selection is a safe tool to help parents attain the family they dream of, thus should be legalized in favor of We should legalize sex selection","['Self-direction: action', 'Benevolence: caring']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
994,A18473,We should abandon the use of school uniform,against,"school uniforms will stop children from wearing and showing offense logos, words, etc., to their peers.","school uniforms will stop children from wearing and showing offense logos, words, etc., to their peers. against We should abandon the use of school uniform","['Security: personal', 'Conformity: rules']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2306,A22481,We should abolish the Olympic Games,in favor of,we should abolish the olympic games since it puts a huge financial strain on the hosting country. much money is spent on infrastructure that can be abandoned after the games are over.,we should abolish the olympic games since it puts a huge financial strain on the hosting country. much money is spent on infrastructure that can be abandoned after the games are over. in favor of We should abolish the Olympic Games,"['Power: resources', 'Security: personal', 'Security: societal', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
789,A18154,We should legalize sex selection,in favor of,sex selection should be allowed to those who want a certain gender.,sex selection should be allowed to those who want a certain gender. in favor of We should legalize sex selection,"['Self-direction: action', 'Power: dominance', 'Benevolence: caring']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
381,A12115,We should oppose collectivism,against,collectivism takes care of an entire group's need vs just one persons.,collectivism takes care of an entire group's need vs just one persons. against We should oppose collectivism,"['Security: personal', 'Benevolence: caring', 'Universalism: concern', 'Universalism: tolerance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3431,A27107,We should abolish the Olympic Games,in favor of,we should abolish the olympic games because it is inhumane to have people compete for profit or gain.,we should abolish the olympic games because it is inhumane to have people compete for profit or gain. in favor of We should abolish the Olympic Games,"['Face', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
3450,A27134,We should adopt atheism,in favor of,we should adopt atheism until it can be proven that god is real.,we should adopt atheism until it can be proven that god is real. in favor of We should adopt atheism,['Universalism: objectivity'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2338,A23024,We should ban algorithmic trading,in favor of,algorithmic trading is unfair to the market,algorithmic trading is unfair to the market in favor of We should ban algorithmic trading,"['Power: resources', 'Universalism: concern']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4391,A30147,We should adopt a multi-party system,in favor of,"a multi party system allows far better choices for the diverse population, meaning they can find someone to vote for that they truly believe in and participate in a democracy better","a multi party system allows far better choices for the diverse population, meaning they can find someone to vote for that they truly believe in and participate in a democracy better in favor of We should adopt a multi-party system","['Self-direction: action', 'Achievement', 'Power: dominance', 'Universalism: concern']",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5698,A19293,The vow of celibacy should be abandoned,against,"celibacy is a major tenant of the catholic church and should be allowed to remain it is a freedom of practice of religion concept. it is a show of faithfulness to god,  a degree of purity most will never have.","celibacy is a major tenant of the catholic church and should be allowed to remain it is a freedom of practice of religion concept. it is a show of faithfulness to god,  a degree of purity most will never have. against The vow of celibacy should be abandoned","['Self-direction: thought', 'Tradition', 'Conformity: rules']",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3491,A27204,We should adopt gender-neutral language,against,"there are two genders and it is not offensive to use those two descriptions when talking about people, it is ridiculous to attempt to include every possible gender identity.","there are two genders and it is not offensive to use those two descriptions when talking about people, it is ridiculous to attempt to include every possible gender identity. against We should adopt gender-neutral language","['Achievement', 'Tradition', 'Humility', 'Universalism: objectivity']",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
4588,D01031,Technology is making us feel less human,in favor of,"Many face-to-face communications are also replaced with virtual interactions. Many people are now living in virtual homes, which is the smartphone. As the need for talking with each other is reducing, the ability to communicate with each other which is a basic quality of living beings is declining.","Many face-to-face communications are also replaced with virtual interactions. Many people are now living in virtual homes, which is the smartphone. As the need for talking with each other is reducing, the ability to communicate with each other which is a basic quality of living beings is declining. in favor of Technology is making us feel less human","['Achievement', 'Security: personal', 'Benevolence: caring']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6803,A30217,Homeschooling should be banned,against,homeschooling can lead to a better learning outcome for many children who struggle in the traditional classroom.,homeschooling can lead to a better learning outcome for many children who struggle in the traditional classroom. against Homeschooling should be banned,"['Self-direction: action', 'Achievement']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6745,A29442,The vow of celibacy should be abandoned,in favor of,the vow of celibacy should be abandoned because it is not natural.,the vow of celibacy should be abandoned because it is not natural. in favor of The vow of celibacy should be abandoned,"['Self-direction: action', 'Humility', 'Universalism: nature']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3869,A28293,We should abolish the right to keep and bear arms,against,People should have the right to defend themselves against the criminal elements of society.,People should have the right to defend themselves against the criminal elements of society. against We should abolish the right to keep and bear arms,"['Self-direction: action', 'Security: societal']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
408,A12162,We should abandon the use of school uniform,against,school uniforms allow children to attend school without peer pressure on clothing.,school uniforms allow children to attend school without peer pressure on clothing. against We should abandon the use of school uniform,['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6057,A22466,Homeschooling should be banned,in favor of,home-schooled children aren't socialized properly and may have difficulty adapting to the general populace,home-schooled children aren't socialized properly and may have difficulty adapting to the general populace in favor of Homeschooling should be banned,"['Face', 'Security: personal']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1755,A21139,We should limit executive compensation,in favor of,executive compensation encourages corruption,executive compensation encourages corruption in favor of We should limit executive compensation,"['Self-direction: action', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
5714,A19371,Assisted suicide should be a criminal offence,in favor of,assisted suicide should be a criminal offence because killing is wrong whether it is willingly or not,assisted suicide should be a criminal offence because killing is wrong whether it is willingly or not in favor of Assisted suicide should be a criminal offence,"['Security: societal', 'Tradition', 'Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
6377,A25469,Homeopathy brings more harm than good,in favor of,there are no proven scientific studies that can back up the positive effects of homeopathic remedies,there are no proven scientific studies that can back up the positive effects of homeopathic remedies in favor of Homeopathy brings more harm than good,"['Security: personal', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3377,A27026,We should abolish the three-strikes laws,against,three strikes allows someone to make a genuine mistake and not be punished as harshly right away.,three strikes allows someone to make a genuine mistake and not be punished as harshly right away. against We should abolish the three-strikes laws,"['Security: societal', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
79,A05034,We should abolish the three-strikes laws,in favor of,three is an arbitrary number and may not be appropriate in some instances or for some crimes,three is an arbitrary number and may not be appropriate in some instances or for some crimes in favor of We should abolish the three-strikes laws,"['Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6174,A24032,Payday loans should be banned,in favor of,payday loans should be banned because it puts people into debt they shouldn't be in due to high interest rates,payday loans should be banned because it puts people into debt they shouldn't be in due to high interest rates in favor of Payday loans should be banned,"['Security: personal', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3473,A27176,We should introduce compulsory voting,against,forcing people to vote will cause an unwanted outcome in elections. having no vote is as much speech as voting.,forcing people to vote will cause an unwanted outcome in elections. having no vote is as much speech as voting. against We should introduce compulsory voting,"['Self-direction: thought', 'Self-direction: action', 'Achievement']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2778,A24195,We should subsidize space exploration,against,"Subsidies are a zero sum game, by subsidizing space exploration we are neglecting more important fields such as education or affordable housing.","Subsidies are a zero sum game, by subsidizing space exploration we are neglecting more important fields such as education or affordable housing. against We should subsidize space exploration","['Achievement', 'Power: resources', 'Security: personal', 'Benevolence: dependability', 'Universalism: objectivity']",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
5294,E07271,There should be a reform of EU trade and investment policy and a relaunch of global multilateralism,in favor of,"The present international economic system and trade institutions are too much a product of the not-so-glorious colonial past. We should put more democracy, more rights for people, and more equality into the international economic order.  ","The present international economic system and trade institutions are too much a product of the not-so-glorious colonial past. We should put more democracy, more rights for people, and more equality into the international economic order.   in favor of There should be a reform of EU trade and investment policy and a relaunch of global multilateralism","['Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4359,A30092,We should adopt a multi-party system,against,it can become confusing when voting on a multi-party system,it can become confusing when voting on a multi-party system against We should adopt a multi-party system,"['Achievement', 'Benevolence: caring', 'Universalism: objectivity']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5955,A22007,The vow of celibacy should be abandoned,against,"the vow of celibacy removes sexual activity with a view to focusing on a larger purpose - it can be seen as training the mind, and allows otherwise unforeseen advances of thought and discourse.","the vow of celibacy removes sexual activity with a view to focusing on a larger purpose - it can be seen as training the mind, and allows otherwise unforeseen advances of thought and discourse. against The vow of celibacy should be abandoned","['Achievement', 'Tradition', 'Conformity: rules', 'Universalism: objectivity']",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
960,A18420,We should subsidize space exploration,in favor of,subsidizing space exploration is a positive move to help advance our space program.,subsidizing space exploration is a positive move to help advance our space program. in favor of We should subsidize space exploration,"['Self-direction: thought', 'Stimulation', 'Achievement', 'Benevolence: dependability']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6148,A23389,Holocaust denial should be a criminal offence,in favor of,Denying that Holocaust in front of people who were affected by it can cause severe mental/emotional trauma.,Denying that Holocaust in front of people who were affected by it can cause severe mental/emotional trauma. in favor of Holocaust denial should be a criminal offence,"['Conformity: rules', 'Conformity: interpersonal']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6304,A25109,Intelligence tests bring more harm than good,against,i contest because the founding of each children's iq benefit them actually so parents or educators can proper put these kids in a design classroom or seek extra help to tackle their specific weaknesses,i contest because the founding of each children's iq benefit them actually so parents or educators can proper put these kids in a design classroom or seek extra help to tackle their specific weaknesses against Intelligence tests bring more harm than good,"['Achievement', 'Benevolence: caring', 'Benevolence: dependability']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2825,A24279,We should abandon the use of school uniform,against,school uniforms make sure that each student starts out in an equal environment.,school uniforms make sure that each student starts out in an equal environment. against We should abandon the use of school uniform,"['Face', 'Security: personal', 'Universalism: concern']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
3660,A27464,We should adopt libertarianism,against,we shouldn't adopt libertarianism because it means less government intervention for people that need it for example welfare,we shouldn't adopt libertarianism because it means less government intervention for people that need it for example welfare against We should adopt libertarianism,"['Power: dominance', 'Security: personal', 'Security: societal', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
3154,A25283,We should subsidize journalism,against,journalism is dead as many new outlets are heavily biased and strive for sensational news rather than accurate news,journalism is dead as many new outlets are heavily biased and strive for sensational news rather than accurate news against We should subsidize journalism,"['Benevolence: caring', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4998,E04122,We do not want illegal migration.,against,I do not agree with stripping people of their right to asylum and a right to live in the EU because they came illegally. I would instead suggest making it easier to migrate legally. That way there would be no need to migrate illegally and risk your life while doing so.,I do not agree with stripping people of their right to asylum and a right to live in the EU because they came illegally. I would instead suggest making it easier to migrate legally. That way there would be no need to migrate illegally and risk your life while doing so. against We do not want illegal migration.,"['Self-direction: action', 'Security: personal', 'Conformity: rules', 'Universalism: concern']",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
4505,A30304,We should abolish the Olympic Games,in favor of,they cost too much money and we waste too many resources on the olympics.,they cost too much money and we waste too many resources on the olympics. in favor of We should abolish the Olympic Games,"['Security: personal', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3163,A25295,We should subsidize journalism,against,journalists are not often regulated so anyone could say whatever they want and not be providing true information,journalists are not often regulated so anyone could say whatever they want and not be providing true information against We should subsidize journalism,"['Benevolence: caring', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4586,D01029,Technology is making us feel less human,in favor of,"Industrialization increased work hours. Workers faced inhuman conditions. Humans cannot work and focus continuously like machines. Fast forward to today, we have technological devices to check how many hours we actually work. Some companies want to be connected 24 hours a day through emails and messages. This makes people feel less human.","Industrialization increased work hours. Workers faced inhuman conditions. Humans cannot work and focus continuously like machines. Fast forward to today, we have technological devices to check how many hours we actually work. Some companies want to be connected 24 hours a day through emails and messages. This makes people feel less human. in favor of Technology is making us feel less human","['Self-direction: action', 'Hedonism', 'Face', 'Security: personal', 'Universalism: nature']",0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
957,A18416,We should ban cosmetic surgery for minors,against,cosmetic surgery might be the only hope for children born with disfigurements that would have severe impact on self-esteem and lead to psychological issues and childhood trauma.,cosmetic surgery might be the only hope for children born with disfigurements that would have severe impact on self-esteem and lead to psychological issues and childhood trauma. against We should ban cosmetic surgery for minors,"['Self-direction: action', 'Achievement', 'Security: personal', 'Benevolence: caring']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6911,D27061,Temples in India can have Gender-Specific rules,against,Though religions can have personal laws. Religious institutions do not have right to ban women from entering into worship places.,Though religions can have personal laws. Religious institutions do not have right to ban women from entering into worship places. against Temples in India can have Gender-Specific rules,"['Tradition', 'Universalism: concern', 'Universalism: tolerance']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
